US Twins 2008,,,,,
,,,,,
rank,name1,name2,number,sex1,sex2
1,Jacob, Joshua,69,boy,boy
2,Daniel, David,59,boy,boy
3,Jayden, Jordan,56,boy,girl
4,Ethan, Evan,50,boy,boy
5,Taylor, Tyler,43,boy,boy
6,Gabriella, Isabella,42,girl,girl
7,Isaac, Isaiah,40,boy,boy
8,Madison, Morgan,38,girl,girl
9,Elijah, Isaiah,36,boy,boy
10,Ella, Emma,35,girl,girl
11,Landon, Logan,34,boy,boy
12,Logan, Lucas,34,boy,boy
13,Matthew, Michael,33,boy,boy
14,Faith, Hope,29,girl,girl
15,Isabella, Sophia,28,girl,girl
16,Olivia, Sophia,28,girl,girl
17,James, John,27,boy,boy
18,Madison, Mason,27,boy,boy
19,Brandon, Bryan,25,boy,boy
20,Hailey, Hannah,25,girl,girl
21,Mackenzie, Madison,25,girl,girl
22,Nathan, Nicholas,25,boy,boy
23,Addison, Aiden,24,boy,boy
24,Caleb, Joshua,24,boy,boy
25,Christian, Christopher,24,boy,boy
26,Emma, Ethan,24,boy,girl
27,Jayden, Jaylen,24,boy,girl
28,Ava, Emma,23,girl,girl
29,Ava, Olivia,23,girl,girl
30,Joseph, Joshua,23,boy,boy
31,Andrew, Matthew,22,boy,boy
32,Makayla, Makenzie,22,girl,girl
33,Benjamin, Samuel,21,boy,boy
34,Brandon, Brian,21,boy,boy
35,Abigail, Emma,20,girl,girl
36,Jacob, Matthew,20,boy,boy
37,Jordan, Justin,20,boy,boy
38,Nathan, Noah,20,boy,boy
39,Alexander, Andrew,19,boy,boy
40,Emily, Ethan,19,boy,girl
41,Ethan, Nathan,19,boy,boy
42,Gabriel, Michael,19,boy,boy
43,Hayden, Hunter,19,boy,boy
44,Jacob, Joseph,19,boy,boy
45,Addison, Avery,17,boy,boy
46,Faith, Grace,17,girl,girl
47,Jayda, Jayden,17,girl,girl
48,Joshua, Justin,17,boy,boy
49,Joshua, Matthew,17,boy,boy
50,Alexander, Nicholas,16,boy,boy
51,Emma, Sophie,16,girl,girl
52,Jada, Jaden,16,girl,girl
53,Logan, Luke,16,boy,boy
54,Aaron, Andrew,15,boy,boy
55,Andrew, Anthony,15,boy,boy
56,Anna, Emma,15,girl,girl
57,Autumn, Summer,15,girl,girl
58,Isabella, Olivia,15,girl,girl
59,Jacob, Jordan,15,boy,boy
60,Jacob, Lucas,15,boy,boy
61,Kyle, Ryan,15,boy,boy
62,Nicholas, Noah,15,boy,boy
63,Valeria, Vanessa,15,girl,girl
64,Abigail, Benjamin,14,boy,girl
65,Aiden, Ava,14,boy,girl
66,Alexander, Benjamin,14,boy,boy
67,Alexander, Christopher,14,boy,boy
68,Ashley, Emily,14,girl,girl
69,Benjamin, William,14,boy,boy
70,Christopher, Matthew,14,boy,boy
71,Daniel, Michael,14,boy,boy
72,Dylan, Tyler,14,boy,boy
73,Emma, Sophia,14,girl,girl
74,Hannah, Sarah,14,girl,girl
75,Heaven, Nevaeh,14,girl,girl
76,Jake, Luke,14,boy,boy
77,Jennifer, Jessica,14,girl,girl
78,Mackenzie, Makayla,14,girl,girl
79,Matthew, William,14,boy,boy
80,Natalie, Nathan,14,boy,girl
81,Ryan, Tyler,14,boy,boy
82,Samuel, Sophia,14,boy,girl
83,Samuel, William,14,boy,boy
84,Addison, Emma,13,boy,girl
85,Adrian, Adriana,13,boy,girl
86,Aiden, Austin,13,boy,boy
87,Alexander, Alexis,13,boy,girl
88,Ava, Mia,13,girl,girl
89,Benjamin, Jacob,13,boy,boy
90,Benjamin, Matthew,13,boy,boy
91,Caleb, Christian,13,boy,boy
92,Caleb, Jacob,13,boy,boy
93,Elijah, Ethan,13,boy,boy
94,Jada, Jayden,13,boy,girl
95,James, William,13,boy,boy
96,John, William,13,boy,boy
97,Lily, Logan,13,boy,girl
98,Mark, Matthew,13,boy,boy
99,Matthew, Nicholas,13,boy,boy
100,Maxwell, Samuel,13,boy,boy
